reviewer_name,star_rating,review
Lora ,4,"""It is our choices, Harry, that show what we truly are, far more than our abilities."" - Albus Dumbledore

Such a wise wizard.

You know how sometimes when you read the first in a series and it turns out so much better than you originally anticipated, it makes you a little apprehensive when starting the sequel? Well, I felt that way before starting this, but I can definitely say that Harry Potter and the Chamber of Secrets is another fabulous installment in the rightfully beloved Harry Potter series!
And while I will admit to not loving it quite as much as its predecessor, I still enjoyed it a great deal.
I think the reason for my not liking it as much can be mostly credited to the introduction of a new character, Professor Lockhart. Lockhart is an annoyingly pretentious wizard who is completely full of himself, and the majority of his teachings were based on his own life and his supposed brushes with death that he escaped only because of his ""heroism"" and great knowledge of the magic arts. (view spoiler)
In a summary, I didn't find the story involving Lockhart quite as interesting as Harry's realization of his true abilities and the escapades of his first year at Hogwarts.

But HP II undoubtedly still has plenty of hilarious moments and magical wonders - not to mention the lovely cast of characters - to more than compensate for this particular installment's slightly lacking plot. Hence the five stars. :)

(view spoiler)

FAVORITE QUOTE: ""I've heard you hate those Muggles you live with,"" said Ernie swiftly.
""It's not possible to live with the Dursleys and not hate them,"" said Harry. ""I'd like to see you try it.""

Next up is Harry Potter and the Prisoner of Azkaban, and I'm very much looking forward to it.

**********************************************************

My reviews of other titles in this series:

Harry Potter and the Sorcerer's Stone"
Zoë ,5,"“It is our choices, Harry, that show what we truly are, far more than our abilities.” CHILLS.

(REREAD)

Okay DUH 5/5 stars. I actually liked this book more than I remembered! This used to be my least favorite of the Harry Potter books and, while that still might be true, I was more entertained than I expected! I always forget how different Book Ginny is from Movie Ginny (way better all around) and how she has such a bigger role in the books than the films.

NOW ONTO HP AND THE PRISONER OF AZKABAN! "
Sasha Alsberg ,5,"JK Rowling really knows how to write a great book, thats for sure! Although this wasn't my favorite book in the series, it definitely wasn't because it was bad. I loved the plot and conflict, even though it wasn't as intense as the others were. I was definitely shocked at the end...so epic and mind blowing!"
Jayson,4,"(A-) 83% | Very Good
Notes: A clever conjuration, it's a cozy castle mystery, a creature-fest, and Ripper-esque: lit by monsters, ghosts, and history."
Amanda Patterson ,1,I have nothing to say.
Stephanie ,1,After trying to read this book I couln't read anymore...I just wasn't into it at all...
Melanie,1,"Harry Potter and the Chamber of Secrets is definitely not one of Rowling's best works. It seems that she wanted to write something that would follow the footsteps and carry the success of The Sorcerer's Stone but she failed miserably at that. The first half of the book is almost a summary of the first book as though Rowling is trying to remind the reader what the original story is and where Harry came from, making the book quite redundant. It is not until the last 50 pages that the story picks up momentum and actually becomes interesting.

Through it all, Rowling, like always, remains a talented story teller. But one that is trying too hard to remind us about the first book. This book draws strengths from her writing style and less from her imagination, as thou she is not confident enough in the story and afraid of not reaching the success of the first book."
Nina,3,"It's Harry Potter, it just had to be a good book and it definitely is!

2018 REREAD: I must say that I didn’t enjoy this book as much as I apparently enjoyed it the other God knows how many times I’ve read it in my life which is why I decided to change my rating from 4 to 3 stars. Personally, I just think this book is a lot less interesting that the other books from this series and just can’t keep up with them. Also, the scene in which Harry and Ron steal the car is still one of the most frustrating scenes from the entire series and always makes me want to throw the book at a wall."
Krystal ,2,"I stand by my original 2-star rating for this one; it's one of the weakest of the series.

It goes for the same light tone as the first, but most of the magic is kind of a rehash from the first book, so it's lost some of its appeal. Then there's the darker theme of, well, racism, really, in the form of musings over the 'purity' of magic families. Pretty heavy stuff for a kids book, and not nearly as much fun as the first.

Lockhart is a doofus, and it's painful and offensive how EVERY woman in this book throws herself at him. It's particularly grating that Hermione gets on board with it - she's supposed to be the smart one. There really needed to be a female character that saw through his bs like the boys did. I know he's supposed to lighten the tone, but it was rather exaggerated. Appropriate for a kid's book, but it's going to lose the older audience a little.

Once again, the teachers are basically useless, an Dumbledore stands by and lets Harry fight his battles for him again. Harry is his typical arrogant self, once again believing he's solely responsible for fixing things. Ron gets reluctantly dragged along, making my appreciation for him and his grumblings grow. Hermione is much more fun with her rule-breaking - she must have really loosened up over the break because she's chill AF about doing the wrong thing. Snape is in fine form, particularly paired up with Lockhart, because Snape just does not have time for your sh*t and it brings out the sarcasm that I love so much. His loyalty for Dumbledore doesn't exactly shine through, though, and it bothers me that he's so chummy with Malfoy. Malfoy's a total weasel and Snape should be too old and wise to fall for that crap. Dobby is the most annoying character ever invented and rivaled only by that giant floppy-eared rabbit thing from the Star Wars prequel movies. The twins are solid amusement, but poorly utilised in this book.

I disliked the way Harry treated Colin, and Myrtle, and Nick ... like he kind of pretends like he doesn't think he's better than anyone but he also seems to think that what he wants and needs is far more important than what anyone else wants and needs. Again, this is me struggling to deal with children. I get that they're kids, but someone needs to sit Harry's ass down and explain to him how to respect other people. He's got a bit of that Dursley jerk factor in him, whether he likes it or not.

The whole Chamber of Secrets mystery is curious, but a bit underwhelming. It's pretty slow, and the book doesn't really start to get exciting until the last quarter. Shame, really, after such a great introduction to the world in the first one.

It was an easy enough read, and there's still plenty of magic and unusual happenings, but overall it's pretty weak compared to the first one. Lots of dumb, illogical ideas and conclusions, meaning it all kind of crumbles under scrutiny. Understandably enjoyable to the younger readers, though."
Cindy Pham,3,"This was a cute middle grade book. Even though it was slow, I liked it a little more than the first book since at this point the world has already been established and now we get to see more of the characters and the setting. Ron and his family, especially the twins, are endearing. I also thought it was interesting seeing Harry’s internal struggle with whether he was truly Gryffindor or Slytherin, and the payoff later on about how it is our choices that show what we truly are. I didn’t like how the mystery was conveniently solved, the monologue of explanation from the villain at the end, and how Hermione was literally petrified throughout most of the book just so that she wouldn’t have figured everything out right away. But I’m glad to finally be done with this book so that, just like Dobby, I am free."
