reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOHuC9a634QjathsyDrU3ip9At5azd7X8o6RDzftjhNy0F_E4FCOYTrq4Ac1gIgkotUCP3oGnp2UBZ8jK_s,galen johnson,https://lh3.googleusercontent.com/a-/AOh14GhyAn3ijMvEC9scvQXtAnocBD6FPZvBVgVoygjvbw,Love Walmart and the Walmart app too. Lots of good stuff to buy here too. Updates were nice also thanks so mooch..,5,2,20.38,2020-10-14 11:59:43,,
gp:AOqpTOF5XzVmyK52nMUPJO6R2RBU3SM241f5rO9PNTTbtD7rzcmAUnu85W1-VNshG9jbC51MjDNR_tR67yrl5kI,Cedric Bernard,https://play-lh.googleusercontent.com/-2TNOOqBLBBA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3nspxLthyL-xftjk53ip0C3gBxA/photo.jpg,My new way of shopping,5,0,20.38,2020-10-14 11:54:11,,
gp:AOqpTOEhCsdm2GlTL0qVcZdjVvPrziwp1isu_V2JmjM3quKsXMLwnpdDCNZwZ7tm1nlAnWDXSGcP_WaRAHWoSIg,Michael Dawson,https://lh3.googleusercontent.com/a-/AOh14Gh5BQdNagl3bGW_Jci1GrT0st486RtHaLqPMWVq0Q,I hated the approach to accessing each department.,1,0,,2020-10-14 11:51:46,,
gp:AOqpTOHUkzd3pDj9npbRNJQ0TLfTNyXeQr4BDA0M_bVdfsRkjNFJt2FQjfFrIGF5gaM5fJpOGjuJu2e0bm6IXnU,travelBandita,https://lh3.googleusercontent.com/a-/AOh14GhqRro059rAJ_OApwgayk4-qKfTSRaCaNK6Xq3ALQ,Please show where items are located in store while using the grocery app. Its annoying to toggle between the two sides when I need to know which aisle an item is located. Otherwise the app is great.,4,0,20.39,2020-10-14 11:46:02,,
gp:AOqpTOFtnMhygd5_WjznpeAQYN6ScNvzXwrCC1qgtYw62Vikl_d6mtLfqHEt5ierY3uSiYc3rMREa-A3Q6QcXWk,Denise McFadden,https://lh3.googleusercontent.com/a-/AOh14GiAfgZKD2XGe6u-M7Rh1CkTo9jP0H6e64HeBkJY,"Loving Walmart, Great deals, 👠👜👗",5,0,20.39,2020-10-14 11:26:27,,
gp:AOqpTOEaGgDNhPZtU46lii1lUTuBxoxGPKQLFUaABSWvl0Sl8Iua1RsTZMv9AAzwLu8Ai51e2oxTxzQCpuFNGgE,shawn gunnoe,https://lh3.googleusercontent.com/-9-85NI6lT84/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQdJKti5wCUzvcEqkh6V46RX5CZA/photo.jpg,I one stare every bloatware app,1,0,,2020-10-14 11:24:34,,
gp:AOqpTOGa8ObR60NnbKq6p5h-kqcUj8VENwskg7U4Pzh2QLcS_9CL5SChl859M58ftVkf7L9cbsgKX3lEuy3cVzk,ifLogic Inc.,https://play-lh.googleusercontent.com/-ULcyMeN7HW8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckg3vn12mawHaouVPr5zePokySGmA/photo.jpg,"Thank you for putting back ""my favorites"". Now if you'd be so kind as to fix the core issues. Many items do not let you keep them in your cart. Even though these items do not list as being ""out of stock"" if I ""add"" them to my cart, two seconds later your app automatically removes them from my cart and sets the Add button back to ""Add"". This happens on most items now. Lastly, please find someone at Walmart who has the authority to REINSTATE CUSTOMER SERVICE EMAIL! 300 chrs is NOT enough!",3,0,20.40,2020-10-14 11:03:25,,
gp:AOqpTOGfnLyCQO7dU8ld4LhjQKeJkFkCvgo8sswovyMF7pjK4mOvU9Gzf6nK4n_HoXF1NKFM0eNoDCT0J6hbn8U,Doug Clay,https://lh3.googleusercontent.com/a-/AOh14GiE4PXtTlEs0kzDGDLYghxJVfACS1oyMByc1R2piA,Order fresh vegetables at your own risk check before you drive off. I had a worm in the bag with my cauliflower and the bag of spinach was on its last leg. Check your bag before you drive off. When your force to use a credit card instead of you debit card to make a $50 purchase. Don't expect a donation to your charity.,1,0,20.37.1,2020-10-14 10:41:00,,
gp:AOqpTOHaZJjNRTFtVcBkByhot2kyHYg0NVsh1Ul0ivHocUgkn3UY_UZYFFuCP9aku2MLB_vk-lI1oxjM1PNvUMc,Sweet Live,https://lh3.googleusercontent.com/a-/AOh14GgJgTy-g4uq7tJzlX4gUv2Jvm8khzyCSreMC9ZA,"Never had a problem with Walmart and the pick up option is great for our family of 6 Update: after using the app for a while they can and will cancel your order if there are other people who reserve the time slot, disappointing I and my family can be toss so easy.",4,0,20.39,2020-10-14 10:36:44,,
gp:AOqpTOEghLNbjyCeSZ9CIpmBnn9c8nBuBsas2I9NDWyaFhanJzNr4TiQQb8hl-8h-xbBhpzeHzsUnQUirdU4rhw,David Nguyen,https://play-lh.googleusercontent.com/-87HP-oGbopY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfvuhph8qN4bUgZClg6PLGHD4Fvw/photo.jpg,Worst app ever always freezes when you need to use it. Walmart is such a big company but they can't even get their online app up to par with Amazon,1,0,19.37.2,2020-10-14 10:21:22,,
gp:AOqpTOHXReSnjMiT2Jn259UYJoqIqISCnnQ9SvyaACVe1CnrzVv5p6tWjMZedCrC1dDg6BHgHiBOrN7UsPz8X1o,Butch Hook,https://lh3.googleusercontent.com/-i5Ck8-vMa2M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckR3QOIcOGGPX7CnjjEWRVSx1_LUg/photo.jpg,would not update,1,0,20.37.1,2020-10-14 10:17:33,,
